breed,age_years,weight_kg,color,gender,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a4_tolerates_being_alone,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,c1_amount_of_shedding,c2_drooling_potential,d1_easy_to_train,d5_tendency_to_bark_or_howl,e1_energy_level,e3_exercise_needs,size,age_category,color_category,cluster,cluster_name,is_anomaly,anomaly_score
bloodhound,8,38,Brown,Male,1,2,2,5,5,5,4,5,3,4,5,5,large,adult,dark,0,family_active,1,0.08520155191862566
australian shepherd,3,52,Black and White,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,puppy,mixed,0,family_active,1,0.11734127630666924
german shepherd dog,8,58,Black and White,Female,3,2,2,5,5,2,5,1,5,4,5,5,large,adult,mixed,3,large_working,1,0.08877452506852401
australian shepherd,6,48,Black,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,adult,dark,0,family_active,1,0.11734127630666924
belgian malinois,14,50,Cream,Male,1,3,3,5,4,2,2,1,5,2,5,5,large,senior,light,5,smart_active,1,0.056851380059695145
pomeranian,5,24,Gray,Female,4,4,1,5,2,2,4,1,4,5,3,2,medium,adult,light,1,independent_character,1,0.050059729299895106
samoyed,1,17,Black and Tan,Female,2,2,2,5,5,5,5,2,3,3,5,5,medium,puppy,dark,0,family_active,1,0.10307336763685271
doberman pinscher,8,14,Gray,Male,3,3,2,5,3,1,4,4,5,1,3,3,small,adult,light,3,large_working,1,0.04141680801384029
airedale terrier,10,46,Brown,Female,1,2,2,4,4,4,2,1,4,4,5,5,large,senior,dark,0,family_active,1,0.11990421320075151
dogo argentino,9,21,Blue,Male,1,1,2,4,2,2,1,3,2,2,4,4,medium,senior,unique,3,large_working,1,0.0
pomeranian,2,40,Black and Tan,Male,4,4,1,5,2,2,4,1,4,5,3,2,large,puppy,dark,1,independent_character,1,0.050059729299895106
shih tzu,4,10,Merle,Female,5,5,3,5,4,4,3,1,3,2,2,2,small,adult,unique,2,small_companion,1,0.11723197668689922
whippet,3,42,Cream,Male,5,3,2,5,5,4,2,1,4,1,5,5,large,puppy,light,5,smart_active,1,0.10558414949628958
jack russell terrier,13,38,Red,Male,3,2,3,5,4,5,3,1,4,4,5,5,large,senior,unique,0,family_active,1,0.09907175259749268
golden retriever,3,40,Red,Female,2,3,1,5,5,5,5,4,5,3,5,5,large,puppy,unique,0,family_active,1,0.08528781558879694
pembroke welsh corgi,6,10,Cream,Female,4,4,3,5,4,3,5,1,5,2,4,4,small,adult,light,5,smart_active,1,0.11917582392484138
boxer,8,31,Cream,Female,4,3,1,5,4,3,4,2,4,3,5,5,large,adult,light,3,large_working,1,0.13011879791857717
whippet,2,34,Black and White,Male,5,3,2,5,5,4,2,1,4,1,5,5,large,puppy,mixed,5,smart_active,1,0.10558414949628958
basenji,6,54,Black and White,Female,5,4,4,5,5,4,1,5,1,1,5,5,large,adult,mixed,4,outlier_unique,-1,-0.015910031319223084
chinese shar-pei,4,37,Black,Male,4,2,4,2,2,1,5,2,3,5,2,3,large,adult,dark,1,independent_character,1,0.03603625785343145
jack russell terrier,10,51,Red,Male,3,2,3,5,4,5,3,1,4,4,5,5,large,senior,unique,0,family_active,1,0.09907175259749268
bulldog,6,17,Tricolor,Female,5,4,3,5,4,2,3,5,3,4,2,3,medium,adult,mixed,1,independent_character,1,0.08167644158922482
dachshund,12,40,Brindle,Male,5,4,3,4,5,3,3,1,2,5,3,3,large,senior,mixed,1,independent_character,1,0.09346636634119565
rottweiler,7,48,Sable,Female,2,1,1,5,4,2,4,4,4,4,4,4,large,adult,unique,3,large_working,1,0.1270094429307097
beagle,14,50,Bicolor,Male,4,3,1,5,5,5,3,1,1,5,4,4,large,senior,mixed,0,family_active,1,0.04668598771775645
airedale terrier,4,9,Spotted,Female,1,2,2,4,4,4,2,1,4,4,5,5,small,adult,mixed,0,family_active,1,0.11990421320075151
yorkshire terrier,7,47,Blue,Female,5,4,2,4,2,3,2,1,3,3,5,4,large,adult,unique,1,independent_character,1,0.08596830702228297
yorkshire terrier,8,10,Spotted,Male,5,4,2,4,2,3,2,1,3,3,5,4,small,adult,mixed,1,independent_character,1,0.08596830702228297
yorkshire terrier,6,46,Sable,Female,5,4,2,4,2,3,2,1,3,3,5,4,large,adult,unique,1,independent_character,1,0.08596830702228297
airedale terrier,13,30,Merle,Female,1,2,2,4,4,4,2,1,4,4,5,5,medium,senior,unique,0,family_active,1,0.11990421320075151
vizsla,7,30,Black and White,Female,1,3,1,5,5,5,2,1,5,5,5,5,medium,adult,mixed,0,family_active,1,0.0988842615370068
miniature schnauzer,13,59,Merle,Male,4,3,5,5,3,3,2,1,5,3,5,5,large,senior,unique,5,smart_active,1,0.049418521329423815
golden retriever,11,58,Bicolor,Male,2,3,1,5,5,5,5,4,5,3,5,5,large,senior,mixed,0,family_active,1,0.08528781558879694
poodle,13,8,Blue,Female,5,5,1,5,5,4,1,1,5,2,4,4,small,senior,unique,2,small_companion,1,0.09188535307053725
pekingese,10,49,Sable,Female,5,4,3,5,2,2,4,1,3,4,2,2,large,senior,unique,1,independent_character,1,0.08882974922564046
vizsla,10,32,Black,Male,1,3,1,5,5,5,2,1,5,5,5,5,large,senior,dark,0,family_active,1,0.0988842615370068
weimaraner,6,30,Blue,Male,1,2,1,5,4,3,4,4,4,2,5,5,medium,adult,unique,3,large_working,1,0.10893677592658224
west highland white terrier,8,49,Red,Male,4,4,2,5,4,5,4,1,4,4,4,4,large,adult,unique,2,small_companion,1,0.11785238860222136
pekingese,6,54,Spotted,Male,5,4,3,5,2,2,4,1,3,4,2,2,large,adult,mixed,1,independent_character,1,0.08882974922564046
bichon frise,4,46,Bicolor,Female,5,5,1,5,4,4,2,1,5,2,5,3,large,adult,mixed,2,small_companion,1,0.15944015389041594
doberman pinscher,11,23,Black and Tan,Male,3,3,2,5,3,1,4,4,5,1,3,3,medium,senior,dark,3,large_working,1,0.04141680801384029
pembroke welsh corgi,14,15,Gray,Male,4,4,3,5,4,3,5,1,5,2,4,4,small,senior,light,5,smart_active,1,0.11917582392484138
rottweiler,11,31,Black and Tan,Male,2,1,1,5,4,2,4,4,4,4,4,4,large,senior,dark,3,large_working,1,0.1270094429307097
yorkshire terrier,11,25,Black and White,Male,5,4,2,4,2,3,2,1,3,3,5,4,medium,senior,mixed,1,independent_character,1,0.08596830702228297
maltese,4,37,Black and Tan,Male,5,5,1,5,3,4,2,1,4,2,3,2,large,adult,dark,2,small_companion,1,0.10626288972640852
french bulldog,5,17,Black,Male,5,5,1,5,4,4,3,1,4,3,3,2,medium,adult,dark,2,small_companion,1,0.14241912525877787
lhasa apso,1,22,Black,Female,5,5,4,4,4,3,3,1,3,4,4,3,medium,puppy,dark,1,independent_character,1,0.1145986381147937
pembroke welsh corgi,2,34,Sable,Male,4,4,3,5,4,3,5,1,5,2,4,4,large,puppy,unique,5,smart_active,1,0.11917582392484138
whippet,4,14,Red,Male,5,3,2,5,5,4,2,1,4,1,5,5,small,adult,unique,5,smart_active,1,0.10558414949628958
australian shepherd,10,10,Brindle,Male,1,2,2,5,4,5,3,1,5,4,5,5,small,senior,mixed,0,family_active,1,0.11734127630666924
french bulldog,13,7,Black,Male,5,5,1,5,4,4,3,1,4,3,3,2,small,senior,dark,2,small_companion,1,0.14241912525877787
weimaraner,13,6,Red,Female,1,2,1,5,4,3,4,4,4,2,5,5,small,senior,unique,3,large_working,1,0.10893677592658224
bull terrier,4,40,Bicolor,Female,4,4,2,5,5,4,3,1,5,1,4,5,large,adult,mixed,5,smart_active,1,0.10975066302350012
shetland sheepdog,4,24,Brown,Male,2,3,2,5,5,4,5,1,5,1,4,4,medium,adult,dark,5,smart_active,1,0.09560358723404627
pekingese,9,44,Sable,Male,5,4,3,5,2,2,4,1,3,4,2,2,large,senior,unique,1,independent_character,1,0.08882974922564046
dogo argentino,11,25,Brown,Male,1,1,2,4,2,2,1,3,2,2,4,4,medium,senior,dark,3,large_working,1,0.0
french bulldog,9,42,Black,Female,5,5,1,5,4,4,3,1,4,3,3,2,large,senior,dark,2,small_companion,1,0.14241912525877787
pembroke welsh corgi,4,59,Cream,Male,4,4,3,5,4,3,5,1,5,2,4,4,large,adult,light,5,smart_active,1,0.11917582392484138
australian shepherd,9,16,Black and White,Male,1,2,2,5,4,5,3,1,5,4,5,5,medium,senior,mixed,0,family_active,1,0.11734127630666924
samoyed,14,23,Sable,Male,2,2,2,5,5,5,5,2,3,3,5,5,medium,senior,unique,0,family_active,1,0.10307336763685271
border collie,14,39,Tricolor,Male,2,2,1,5,4,3,3,1,5,2,5,5,large,senior,mixed,5,smart_active,1,0.12980876058686436
australian shepherd,14,59,Cream,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,senior,light,0,family_active,1,0.11734127630666924
chesapeake bay retriever,10,30,Red,Female,1,1,2,5,3,1,5,3,3,3,5,5,medium,senior,unique,3,large_working,1,0.041604479924655324
pembroke welsh corgi,13,23,Brown,Female,4,4,3,5,4,3,5,1,5,2,4,4,medium,senior,dark,5,smart_active,1,0.11917582392484138
poodle,5,47,Sable,Female,5,5,1,5,5,4,1,1,5,2,4,4,large,adult,unique,2,small_companion,1,0.09188535307053725
cavalier king charles spaniel,1,48,White,Male,5,5,1,5,5,5,3,1,4,3,3,4,large,puppy,light,2,small_companion,1,0.11561804964437455
bulldog,14,50,Merle,Female,5,4,3,5,4,2,3,5,3,4,2,3,large,senior,unique,1,independent_character,1,0.08167644158922482
shiba inu,11,53,Brindle,Female,5,4,5,4,3,3,4,1,2,4,4,3,large,senior,mixed,1,independent_character,1,0.03866640228556284
vizsla,7,14,Gray,Female,1,3,1,5,5,5,2,1,5,5,5,5,small,adult,light,0,family_active,1,0.0988842615370068
alaskan malamute,12,57,Black and Tan,Male,1,1,1,4,3,2,5,1,4,5,5,5,large,senior,dark,3,large_working,1,0.05178362947380133
samoyed,13,32,Tan,Female,2,2,2,5,5,5,5,2,3,3,5,5,large,senior,light,0,family_active,1,0.10307336763685271
pekingese,9,28,Tricolor,Male,5,4,3,5,2,2,4,1,3,4,2,2,medium,senior,mixed,1,independent_character,1,0.08882974922564046
bichon frise,7,6,Sable,Female,5,5,1,5,4,4,2,1,5,2,5,3,small,adult,unique,2,small_companion,1,0.15944015389041594
bull terrier,4,59,Bicolor,Female,4,4,2,5,5,4,3,1,5,1,4,5,large,adult,mixed,5,smart_active,1,0.10975066302350012
bichon frise,13,24,Merle,Male,5,5,1,5,4,4,2,1,5,2,5,3,medium,senior,unique,2,small_companion,1,0.15944015389041594
pekingese,14,11,Sable,Male,5,4,3,5,2,2,4,1,3,4,2,2,small,senior,unique,1,independent_character,1,0.08882974922564046
yorkshire terrier,9,33,Tricolor,Female,5,4,2,4,2,3,2,1,3,3,5,4,large,senior,mixed,1,independent_character,1,0.08596830702228297
pembroke welsh corgi,12,33,Red,Female,4,4,3,5,4,3,5,1,5,2,4,4,large,senior,unique,5,smart_active,1,0.11917582392484138
chesapeake bay retriever,3,34,Black and White,Male,1,1,2,5,3,1,5,3,3,3,5,5,large,puppy,mixed,3,large_working,1,0.041604479924655324
chihuahua,9,36,Brindle,Male,5,4,1,5,5,2,2,1,4,3,3,1,large,senior,mixed,2,small_companion,1,0.04033536595833154
bloodhound,9,21,Brindle,Male,1,2,2,5,5,5,4,5,3,4,5,5,medium,senior,mixed,0,family_active,1,0.08520155191862566
pembroke welsh corgi,9,54,Gray,Male,4,4,3,5,4,3,5,1,5,2,4,4,large,senior,light,5,smart_active,1,0.11917582392484138
dachshund,13,42,Gray,Female,5,4,3,4,5,3,3,1,2,5,3,3,large,senior,light,1,independent_character,1,0.09346636634119565
bernese mountain dog,3,52,Tan,Male,1,2,1,5,5,3,5,4,4,4,4,3,large,puppy,light,3,large_working,1,0.07387418429489756
shiba inu,6,44,Merle,Female,5,4,5,4,3,3,4,1,2,4,4,3,large,adult,unique,1,independent_character,1,0.03866640228556284
whippet,11,41,Brindle,Male,5,3,2,5,5,4,2,1,4,1,5,5,large,senior,mixed,5,smart_active,1,0.10558414949628958
basenji,7,48,Brindle,Female,5,4,4,5,5,4,1,5,1,1,5,5,large,adult,mixed,4,outlier_unique,-1,-0.015910031319223084
beagle,6,36,Spotted,Female,4,3,1,5,5,5,3,1,1,5,4,4,large,adult,mixed,0,family_active,1,0.04668598771775645
cavalier king charles spaniel,9,6,Merle,Female,5,5,1,5,5,5,3,1,4,3,3,4,small,senior,unique,2,small_companion,1,0.11561804964437455
pomeranian,6,29,Tricolor,Female,4,4,1,5,2,2,4,1,4,5,3,2,medium,adult,mixed,1,independent_character,1,0.050059729299895106
pembroke welsh corgi,9,39,Tan,Female,4,4,3,5,4,3,5,1,5,2,4,4,large,senior,light,5,smart_active,1,0.11917582392484138
saint bernard,3,41,Tan,Male,3,2,1,5,5,5,4,5,2,1,3,2,large,puppy,light,3,large_working,1,0.010965258266183886
boston terrier,12,47,Black and Tan,Male,5,4,3,4,5,5,2,1,4,3,4,4,large,senior,dark,5,smart_active,1,0.1022841672540743
bulldog,1,16,Tan,Male,5,4,3,5,4,2,3,5,3,4,2,3,medium,puppy,light,1,independent_character,1,0.08167644158922482
bulldog,3,32,Cream,Male,5,4,3,5,4,2,3,5,3,4,2,3,large,puppy,light,1,independent_character,1,0.08167644158922482
rottweiler,13,54,Merle,Female,2,1,1,5,4,2,4,4,4,4,4,4,large,senior,unique,3,large_working,1,0.1270094429307097
papillon,11,36,Brown,Female,5,5,1,5,3,4,2,1,5,2,4,5,large,senior,dark,2,small_companion,1,0.08890602129631608
pekingese,12,45,Spotted,Male,5,4,3,5,2,2,4,1,3,4,2,2,large,senior,mixed,1,independent_character,1,0.08882974922564046
bichon frise,1,5,Cream,Female,5,5,1,5,4,4,2,1,5,2,5,3,small,puppy,light,2,small_companion,1,0.15944015389041594
jack russell terrier,14,8,Red,Male,3,2,3,5,4,5,3,1,4,4,5,5,small,senior,unique,0,family_active,1,0.09907175259749268
cocker spaniel,3,7,Gray,Male,5,3,1,5,3,4,3,1,5,3,4,3,small,puppy,light,2,small_companion,1,0.09819957107015731
basenji,10,7,Cream,Male,5,4,4,5,5,4,1,5,1,1,5,5,small,senior,light,4,outlier_unique,-1,-0.015910031319223084
border collie,1,50,Gray,Male,2,2,1,5,4,3,3,1,5,2,5,5,large,puppy,light,5,smart_active,1,0.12980876058686436
border collie,9,22,Blue,Male,2,2,1,5,4,3,3,1,5,2,5,5,medium,senior,unique,5,smart_active,1,0.12980876058686436
boxer,10,17,Black,Male,4,3,1,5,4,3,4,2,4,3,5,5,medium,senior,dark,3,large_working,1,0.13011879791857717
whippet,1,57,Blue,Male,5,3,2,5,5,4,2,1,4,1,5,5,large,puppy,unique,5,smart_active,1,0.10558414949628958
standard schnauzer,5,44,Black and White,Male,4,2,2,4,4,3,1,1,3,2,5,5,large,adult,mixed,5,smart_active,1,0.06975670786733079
cavalier king charles spaniel,5,46,Blue,Male,5,5,1,5,5,5,3,1,4,3,3,4,large,adult,unique,2,small_companion,1,0.11561804964437455
doberman pinscher,4,28,Brown,Male,3,3,2,5,3,1,4,4,5,1,3,3,medium,adult,dark,3,large_working,1,0.04141680801384029
rottweiler,6,11,Cream,Female,2,1,1,5,4,2,4,4,4,4,4,4,small,adult,light,3,large_working,1,0.1270094429307097
chinese shar-pei,12,27,Tan,Female,4,2,4,2,2,1,5,2,3,5,2,3,medium,senior,light,1,independent_character,1,0.03603625785343145
saint bernard,3,56,Black and White,Male,3,2,1,5,5,5,4,5,2,1,3,2,large,puppy,mixed,3,large_working,1,0.010965258266183886
boxer,11,19,Cream,Male,4,3,1,5,4,3,4,2,4,3,5,5,medium,senior,light,3,large_working,1,0.13011879791857717
great dane,5,50,Black and Tan,Male,1,1,1,5,5,5,5,4,5,4,5,5,large,adult,dark,0,family_active,1,0.07166068511527701
jack russell terrier,1,5,Spotted,Female,3,2,3,5,4,5,3,1,4,4,5,5,small,puppy,mixed,0,family_active,1,0.09907175259749268
lhasa apso,14,25,Brown,Female,5,5,4,4,4,3,3,1,3,4,4,3,medium,senior,dark,1,independent_character,1,0.1145986381147937
rottweiler,6,41,Gray,Male,2,1,1,5,4,2,4,4,4,4,4,4,large,adult,light,3,large_working,1,0.1270094429307097
dogo argentino,10,37,Brown,Male,1,1,2,4,2,2,1,3,2,2,4,4,large,senior,dark,3,large_working,1,0.0
french bulldog,6,41,Black and Tan,Female,5,5,1,5,4,4,3,1,4,3,3,2,large,adult,dark,2,small_companion,1,0.14241912525877787
rottweiler,13,23,Brindle,Male,2,1,1,5,4,2,4,4,4,4,4,4,medium,senior,mixed,3,large_working,1,0.1270094429307097
yorkshire terrier,12,55,Black,Male,5,4,2,4,2,3,2,1,3,3,5,4,large,senior,dark,1,independent_character,1,0.08596830702228297
vizsla,8,40,Brindle,Male,1,3,1,5,5,5,2,1,5,5,5,5,large,adult,mixed,0,family_active,1,0.0988842615370068
poodle,12,30,Tricolor,Female,5,5,1,5,5,4,1,1,5,2,4,4,medium,senior,mixed,2,small_companion,1,0.09188535307053725
chesapeake bay retriever,12,35,Gray,Male,1,1,2,5,3,1,5,3,3,3,5,5,large,senior,light,3,large_working,1,0.041604479924655324
great dane,14,36,Blue,Female,1,1,1,5,5,5,5,4,5,4,5,5,large,senior,unique,0,family_active,1,0.07166068511527701
irish setter,8,20,Bicolor,Male,1,3,2,5,5,5,4,2,4,4,5,5,medium,adult,mixed,0,family_active,1,0.13291247026930442
bloodhound,14,29,Bicolor,Female,1,2,2,5,5,5,4,5,3,4,5,5,medium,senior,mixed,0,family_active,1,0.08520155191862566
rottweiler,2,27,Brindle,Female,2,1,1,5,4,2,4,4,4,4,4,4,medium,puppy,mixed,3,large_working,1,0.1270094429307097
yorkshire terrier,12,7,Merle,Female,5,4,2,4,2,3,2,1,3,3,5,4,small,senior,unique,1,independent_character,1,0.08596830702228297
german shepherd dog,12,28,Bicolor,Female,3,2,2,5,5,2,5,1,5,4,5,5,medium,senior,mixed,3,large_working,1,0.08877452506852401
golden retriever,3,38,White,Female,2,3,1,5,5,5,5,4,5,3,5,5,large,puppy,light,0,family_active,1,0.08528781558879694
pug,9,58,Sable,Female,5,5,1,5,4,4,5,1,3,2,3,3,large,senior,unique,2,small_companion,1,0.1093041223286344
golden retriever,14,47,Black and Tan,Male,2,3,1,5,5,5,5,4,5,3,5,5,large,senior,dark,0,family_active,1,0.08528781558879694
pembroke welsh corgi,8,57,Red,Female,4,4,3,5,4,3,5,1,5,2,4,4,large,adult,unique,5,smart_active,1,0.11917582392484138
standard schnauzer,9,13,Black,Male,4,2,2,4,4,3,1,1,3,2,5,5,small,senior,dark,5,smart_active,1,0.06975670786733079
dachshund,2,46,Black and White,Male,5,4,3,4,5,3,3,1,2,5,3,3,large,puppy,mixed,1,independent_character,1,0.09346636634119565
boston terrier,4,52,Cream,Male,5,4,3,4,5,5,2,1,4,3,4,4,large,adult,light,5,smart_active,1,0.1022841672540743
weimaraner,3,50,Brown,Male,1,2,1,5,4,3,4,4,4,2,5,5,large,puppy,dark,3,large_working,1,0.10893677592658224
chihuahua,9,20,Black and White,Male,5,4,1,5,5,2,2,1,4,3,3,1,medium,senior,mixed,2,small_companion,1,0.04033536595833154
papillon,8,24,Sable,Female,5,5,1,5,3,4,2,1,5,2,4,5,medium,adult,unique,2,small_companion,1,0.08890602129631608
rottweiler,2,19,Brown,Female,2,1,1,5,4,2,4,4,4,4,4,4,medium,puppy,dark,3,large_working,1,0.1270094429307097
pekingese,11,43,Cream,Female,5,4,3,5,2,2,4,1,3,4,2,2,large,senior,light,1,independent_character,1,0.08882974922564046
poodle,12,42,Black and Tan,Female,5,5,1,5,5,4,1,1,5,2,4,4,large,senior,dark,2,small_companion,1,0.09188535307053725
chihuahua,10,40,Black,Male,5,4,1,5,5,2,2,1,4,3,3,1,large,senior,dark,2,small_companion,1,0.04033536595833154
whippet,14,16,Brown,Female,5,3,2,5,5,4,2,1,4,1,5,5,medium,senior,dark,5,smart_active,1,0.10558414949628958
irish setter,7,43,Bicolor,Male,1,3,2,5,5,5,4,2,4,4,5,5,large,adult,mixed,0,family_active,1,0.13291247026930442
australian shepherd,11,33,Sable,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,senior,unique,0,family_active,1,0.11734127630666924
chinese shar-pei,1,40,Black and White,Male,4,2,4,2,2,1,5,2,3,5,2,3,large,puppy,mixed,1,independent_character,1,0.03603625785343145
shiba inu,13,47,Brindle,Female,5,4,5,4,3,3,4,1,2,4,4,3,large,senior,mixed,1,independent_character,1,0.03866640228556284
havanese,9,36,Merle,Female,5,5,1,5,4,5,2,1,5,2,3,3,large,senior,unique,2,small_companion,1,0.12281828254349136
bichon frise,5,50,Spotted,Male,5,5,1,5,4,4,2,1,5,2,5,3,large,adult,mixed,2,small_companion,1,0.15944015389041594
beagle,7,22,Sable,Male,4,3,1,5,5,5,3,1,1,5,4,4,medium,adult,unique,0,family_active,1,0.04668598771775645
boxer,7,46,White,Female,4,3,1,5,4,3,4,2,4,3,5,5,large,adult,light,3,large_working,1,0.13011879791857717
german shepherd dog,2,19,Black and White,Male,3,2,2,5,5,2,5,1,5,4,5,5,medium,puppy,mixed,3,large_working,1,0.08877452506852401
pembroke welsh corgi,11,45,Blue,Male,4,4,3,5,4,3,5,1,5,2,4,4,large,senior,unique,5,smart_active,1,0.11917582392484138
havanese,11,55,Black,Female,5,5,1,5,4,5,2,1,5,2,3,3,large,senior,dark,2,small_companion,1,0.12281828254349136
beagle,11,40,Sable,Female,4,3,1,5,5,5,3,1,1,5,4,4,large,senior,unique,0,family_active,1,0.04668598771775645
basenji,4,42,Cream,Female,5,4,4,5,5,4,1,5,1,1,5,5,large,adult,light,4,outlier_unique,-1,-0.015910031319223084
weimaraner,1,36,Merle,Female,1,2,1,5,4,3,4,4,4,2,5,5,large,puppy,unique,3,large_working,1,0.10893677592658224
siberian husky,13,39,Cream,Female,2,1,1,5,5,5,3,3,2,5,5,5,large,senior,light,0,family_active,1,0.05060466007524855
saint bernard,12,51,Brindle,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,senior,mixed,3,large_working,1,0.010965258266183886
poodle,8,36,Tan,Female,5,5,1,5,5,4,1,1,5,2,4,4,large,adult,light,2,small_companion,1,0.09188535307053725
siberian husky,2,24,Tan,Female,2,1,1,5,5,5,3,3,2,5,5,5,medium,puppy,light,0,family_active,1,0.05060466007524855
miniature schnauzer,8,24,Cream,Female,4,3,5,5,3,3,2,1,5,3,5,5,medium,adult,light,5,smart_active,1,0.049418521329423815
labrador retriever,2,42,White,Female,1,3,2,5,5,5,5,3,5,4,5,5,large,puppy,light,0,family_active,1,0.11542894055049463
german shepherd dog,6,28,Gray,Female,3,2,2,5,5,2,5,1,5,4,5,5,medium,adult,light,3,large_working,1,0.08877452506852401
boston terrier,6,17,Cream,Male,5,4,3,4,5,5,2,1,4,3,4,4,medium,adult,light,5,smart_active,1,0.1022841672540743
shih tzu,12,51,Brown,Male,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,dark,2,small_companion,1,0.11723197668689922
border collie,7,21,Tricolor,Female,2,2,1,5,4,3,3,1,5,2,5,5,medium,adult,mixed,5,smart_active,1,0.12980876058686436
lhasa apso,14,38,Cream,Male,5,5,4,4,4,3,3,1,3,4,4,3,large,senior,light,1,independent_character,1,0.1145986381147937
alaskan malamute,8,35,Tricolor,Male,1,1,1,4,3,2,5,1,4,5,5,5,large,adult,mixed,3,large_working,1,0.05178362947380133
shetland sheepdog,13,32,Brown,Male,2,3,2,5,5,4,5,1,5,1,4,4,large,senior,dark,5,smart_active,1,0.09560358723404627
chihuahua,10,43,Brown,Male,5,4,1,5,5,2,2,1,4,3,3,1,large,senior,dark,2,small_companion,1,0.04033536595833154
shih tzu,14,8,Tan,Male,5,5,3,5,4,4,3,1,3,2,2,2,small,senior,light,2,small_companion,1,0.11723197668689922
basenji,14,27,Brown,Female,5,4,4,5,5,4,1,5,1,1,5,5,medium,senior,dark,4,outlier_unique,-1,-0.015910031319223084
french bulldog,14,6,Sable,Male,5,5,1,5,4,4,3,1,4,3,3,2,small,senior,unique,2,small_companion,1,0.14241912525877787
belgian malinois,8,19,Sable,Female,1,3,3,5,4,2,2,1,5,2,5,5,medium,adult,unique,5,smart_active,1,0.056851380059695145
doberman pinscher,9,32,White,Female,3,3,2,5,3,1,4,4,5,1,3,3,large,senior,light,3,large_working,1,0.04141680801384029
poodle,10,5,Black,Female,5,5,1,5,5,4,1,1,5,2,4,4,small,senior,dark,2,small_companion,1,0.09188535307053725
border collie,5,48,Red,Female,2,2,1,5,4,3,3,1,5,2,5,5,large,adult,unique,5,smart_active,1,0.12980876058686436
bichon frise,6,14,White,Male,5,5,1,5,4,4,2,1,5,2,5,3,small,adult,light,2,small_companion,1,0.15944015389041594
alaskan malamute,9,40,Gray,Male,1,1,1,4,3,2,5,1,4,5,5,5,large,senior,light,3,large_working,1,0.05178362947380133
samoyed,12,19,Red,Male,2,2,2,5,5,5,5,2,3,3,5,5,medium,senior,unique,0,family_active,1,0.10307336763685271
belgian malinois,7,37,Spotted,Male,1,3,3,5,4,2,2,1,5,2,5,5,large,adult,mixed,5,smart_active,1,0.056851380059695145
shih tzu,13,31,White,Female,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,light,2,small_companion,1,0.11723197668689922
samoyed,9,17,White,Female,2,2,2,5,5,5,5,2,3,3,5,5,medium,senior,light,0,family_active,1,0.10307336763685271
lhasa apso,6,57,White,Male,5,5,4,4,4,3,3,1,3,4,4,3,large,adult,light,1,independent_character,1,0.1145986381147937
doberman pinscher,9,50,Red,Male,3,3,2,5,3,1,4,4,5,1,3,3,large,senior,unique,3,large_working,1,0.04141680801384029
pomeranian,9,19,Gray,Male,4,4,1,5,2,2,4,1,4,5,3,2,medium,senior,light,1,independent_character,1,0.050059729299895106
standard schnauzer,5,24,Bicolor,Female,4,2,2,4,4,3,1,1,3,2,5,5,medium,adult,mixed,5,smart_active,1,0.06975670786733079
bernese mountain dog,6,34,Spotted,Female,1,2,1,5,5,3,5,4,4,4,4,3,large,adult,mixed,3,large_working,1,0.07387418429489756
great dane,3,56,Black and White,Male,1,1,1,5,5,5,5,4,5,4,5,5,large,puppy,mixed,0,family_active,1,0.07166068511527701
shih tzu,2,59,Cream,Female,5,5,3,5,4,4,3,1,3,2,2,2,large,puppy,light,2,small_companion,1,0.11723197668689922
rottweiler,11,22,Brindle,Male,2,1,1,5,4,2,4,4,4,4,4,4,medium,senior,mixed,3,large_working,1,0.1270094429307097
border collie,14,11,Blue,Male,2,2,1,5,4,3,3,1,5,2,5,5,small,senior,unique,5,smart_active,1,0.12980876058686436
doberman pinscher,2,52,Brindle,Female,3,3,2,5,3,1,4,4,5,1,3,3,large,puppy,mixed,3,large_working,1,0.04141680801384029
bulldog,8,38,Spotted,Female,5,4,3,5,4,2,3,5,3,4,2,3,large,adult,mixed,1,independent_character,1,0.08167644158922482
alaskan malamute,13,18,Tricolor,Female,1,1,1,4,3,2,5,1,4,5,5,5,medium,senior,mixed,3,large_working,1,0.05178362947380133
jack russell terrier,10,27,Brindle,Female,3,2,3,5,4,5,3,1,4,4,5,5,medium,senior,mixed,0,family_active,1,0.09907175259749268
cavalier king charles spaniel,14,48,Blue,Female,5,5,1,5,5,5,3,1,4,3,3,4,large,senior,unique,2,small_companion,1,0.11561804964437455
great dane,13,5,Blue,Female,1,1,1,5,5,5,5,4,5,4,5,5,small,senior,unique,0,family_active,1,0.07166068511527701
yorkshire terrier,8,27,Bicolor,Female,5,4,2,4,2,3,2,1,3,3,5,4,medium,adult,mixed,1,independent_character,1,0.08596830702228297
bichon frise,1,51,Bicolor,Female,5,5,1,5,4,4,2,1,5,2,5,3,large,puppy,mixed,2,small_companion,1,0.15944015389041594
